Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
DD,26.719680786132812,51.22821416127368,13780945.805555556,13.22829121464447,32.185826246809015,60.963861637760246,10.70279088666457,3.2169999999999996,17.773001,0.39673,7.3,18219143168,Basic Materials,True
DE,249.33892822265625,45.67737945388166,1753076.1904761905,53.074405978310615,69.62117083591544,65.5071224354621,5.8546513708696,20.427999,12.385,2.4841800000000003,12.6,139280760832,Industrials,False
DECK,47.66666793823242,58.3421370030722,2618459.523809524,66.11489264741189,47.27084946034805,39.13967974201342,5.784178160936464,43.312,22.82,0.1422,9.1,15359471616,Consumer Cyclical,True
DHI,66.7187271118164,59.49993437554985,4070794.0476190476,34.99629935426067,30.38658208867211,51.106341990976226,-2.2763061240996745,14.321,12.4680005,0.24514,-3.2,47135649792,Consumer Cyclical,True
DHR,191.39076232910156,33.6376155472542,3172699.634920635,42.86401750772552,23.027371489552028,45.37529266394528,-2.840213023153547,6.843000000000001,20.75,0.35544,4.3999999999999995,171974115328,Healthcare,True
DIS,177.00172424316406,49.15192926402388,14657105.952380951,22.24696321289041,61.49938731090712,76.45426084312348,22.661802885848505,12.203,11.867999999999999,0.39632,-0.5,204353159168,Communication Services,True
DLR,116.36261749267578,43.517996827252205,2296255.5555555555,21.130831690525305,-5.355968152642927,79.02940956453202,-0.5282123573996309,5.825,13.333,0.7924800000000001,11.1,56190525440,Real Estate,True
DOV,116.681396484375,46.35752103284087,908136.1111111111,8.405740682866265,28.808480221096605,55.06384858585872,3.5931296258584635,15.883,18.69,0.40076,4.8,28265906176,Industrials,False
DOW,42.25741958618164,62.135595238585594,5471063.492063492,9.789087563146524,37.12816191615231,55.33596394639461,6.57935870095346,-5.287,1.905,1.02943,-8.3,19937024000,Basic Materials,True
DRI,99.64261627197266,82.91230977121656,2657078.9682539683,5.840913461534565,57.66063365649862,57.996009875103624,8.440571096670269,54.104,10.392999999999999,4.01269,7.3,24974891008,Consumer Cyclical,True
DTE,86.3830337524414,47.71860178365255,1543823.4285714286,-3.385023633658959,10.73546721305463,33.435160585224764,-3.962518202374924,11.658,18.968001,2.0797499999999998,21.4,27970746368,Utilities,False
DUK,74.44337463378906,41.489986779610575,3714948.8095238097,4.625139541225017,13.057143585453518,45.8623503959522,-1.901751835306224,9.905,27.125,1.7034399999999998,4.8,92323946496,Utilities,True
DVN,12.455527305603027,96.84462561788055,9977562.301587302,-33.52618893378193,49.53041930356197,54.34084252901355,24.268871903291593,18.586999000000002,24.194999,0.56274,7.1,23167025152,Energy,True
DXCM,90.69249725341797,55.42273744599417,4955322.222222222,65.36146455437215,-10.943909763564626,72.49616660645711,4.403615587112212,30.635,20.053,0.94479,21.6,27195967488,Healthcare,True
EA,138.29837036132812,36.48929081348977,2959463.095238095,32.512823601860426,6.275610266877947,71.18306697583229,10.677837900942132,13.200999999999999,10.875,0.3665,-9.2,51089178624,Communication Services,True
ECL,203.79090881347656,48.71428314205254,2014084.9206349207,14.216144555892843,7.619306855339116,33.27881840753176,2.2284715771047394,21.869,14.715,1.03915,17.8,78666194944,Basic Materials,True
ED,59.36250305175781,41.18910011915444,2317893.6507936507,-16.951159362482187,-1.8728531665385653,30.22105528148147,-7.231753411525175,8.839,25.342,1.10373,10.7,36963418112,Utilities,True
EIX,48.71297836303711,45.33069917297142,2402655.9523809524,-13.216862377823102,13.55716067414981,45.29521299196575,1.2655745835401582,15.765001000000002,32.557,2.0402,10.6,23713472512,Utilities,True
EL,244.4339141845703,41.01808645482038,1638561.507936508,28.207471545681056,37.65992358041827,70.58515006269782,7.38794004177275,-20.727,7.268000400000001,2.42211,3.5999999999999996,41841430528,Consumer Defensive,False
EMN,84.1939926147461,51.455451570173516,1193448.8095238095,32.75003222372837,45.45487257462628,38.32903784940698,6.090078229984761,12.116,9.673,0.89235,-10.6,8072719360,Basic Materials,False
EMR,71.94349670410156,53.963472407963096,3494837.698412698,6.16692355238611,31.26596405009717,41.5239022707137,5.602143391876488,9.363000000000001,20.721,0.67785,5.1,83361284096,Industrials,True
EOG,39.72370910644531,74.92734530392596,5505530.158730159,-38.067476642673164,1.8919218808494498,41.573060908298636,12.25279887765354,18.476999,33.223,0.26835000000000003,-2.4,59147960320,Energy,True
EQIX,636.111572265625,40.66345338123295,493788.8888888889,22.738045789706803,-1.8240088744172183,62.32351074426459,-3.702306481427411,7.7,21.851999,1.47969,6.6000000000000005,78376058880,Real Estate,False
EQR,48.26151657104492,50.95349105971738,2712636.111111111,-23.713259757224044,-1.5316551084201455,40.869554325409425,3.280232327813072,10.444,28.955,0.76237,4.6,24082051072,Real Estate,True
ES,70.46285247802734,45.27412162276372,1775658.3333333333,5.302003207275145,2.150809506697472,49.30215447135952,-3.1859846947951715,8.61,22.489001000000002,1.84357,5.1,26128173056,Utilities,False
ESS,198.17501831054688,50.35998403452887,510311.50793650793,-17.783106158981678,1.56544503354782,35.87302310862307,0.9700987730370962,15.987000000000002,33.777002,1.15144,6.2,17511964672,Real Estate,False
ETN,109.93547058105469,51.84255263169864,2341219.8412698414,27.423024688093754,37.11394346717112,54.55725292156985,4.300056834868251,20.653,19.791001,0.59661,10.100000000000001,129671938048,Industrials,True
ETR,41.01416778564453,46.95858043443797,2755807.9365079366,-13.414811022641077,3.6761001898481758,30.41714128720176,-6.118502675996288,11.187999999999999,30.055,1.79362,12.5,42699128832,Utilities,True
EW,89.63999938964844,44.36265887997046,3446259.523809524,15.664515341481856,29.556288808575093,65.05550865743697,8.127146693256513,13.492,27.371000000000002,0.06862,14.7,49404469248,Healthcare,True
